Year,Station Number,City,Location,Type,Valid Hour,10th Percentile,30th Percentile,50th Percentile,70th Percentile,90th Percentile,99 Percentile,Mean,1-Hour Maximum,24-Hour  Maximum,No. of Times Above 1-Hour Criterion,
2018,14111,Sarnia,700 Christina St. N.,A,8686,12,21,28,35,46,68,29.0,101,58,18,
2018,15020,Grand Bend,Point Blake Conservation Area,A,8614,17,25,31,37,45,68,31.5,100,64,20,
2018,15026,London,42 St. Julien St.,A,8665,10,21,27,34,44,63.36,27.6,76,57,0,
2018,16015,Port Stanley,"43665 Dexter Line, Elgin Water T. Plt",A,8634,17,25,32,38,48,69.67,32.3,86,69,7,
2018,18007,Tiverton,4th Concession/Bruce Rd. 23,A,8676,18,26,32,38,45,64,32.3,104,65,12,
2018,21005,Brantford,324 Grand River Ave.,A,8694,10,21,28,35,45,62,28.3,76,59,0,
2018,26060,Kitchener,West Ave./Homewood Ave.,A,8687,12,21,28,34,44,60.14,27.7,75,60,0,
2018,27067,St. Catharines,"Argyle Cres., Pump Stn.",A,8690,12,22,28,35,44,61,28.5,75,61,0,
2018,28028,Guelph,Exhibition St./Clark St. W.,A,8650,12,22,29,36,45,62,28.9,78,59,0,
2018,29000,Hamilton Downtown,Elgin St./Kelly St.,A,8734,8,19,25,31,43,61,25.6,77,61,0,
2018,29114,Hamilton Mountain,Vickers Rd./E. 18th St.,A,8645,13,22,29,35,46,64.56,29.3,80,67,0,
2018,29118,Hamilton West,Main St. W./Hwy 403,A,8686,6,18,26,32,43,61,25.5,76,60,0,
2018,31103,Toronto Downtown,Bay St./Wellesley St. W.,A,8697,10,19,25,32,42,62,25.8,80,56,0,
2018,33003,Toronto East,Kennedy Rd./Lawrence Ave. E.,A,8683,9,18.6,25,31,41,59,25.2,72,52,0,
2018,34021,Toronto North,"4905 Dufferin St., ECCC",A,8665,7,17,25,32,44,65,25.5,83,56,1,
2018,35125,Toronto West,125 Resources Rd.,A,8718,4,14,22,29,41,59,22.3,76,49,0,
2018,44008,Burlington,North Shore Blvd. E./Lakeshore Rd.,A,8706,10,20,27,34,44,62,27.6,83,62,2,
2018,44017,Oakville,"Eighth Line/Glenashton Dr., Halton Res.",A,8707,12,21,28,35,45,64,28.7,82,63,3,
2018,45027,Oshawa,"Brittania Ave. W., EP Taylor Stables",A,7733,8,18,25,33,42,60,25.8,76,48,0,
2018,46090,Brampton,109 McLaughlin Rd. S.,A,8739,10,21,29,36,46,64,28.6,83,62,4,
2018,46108,Mississauga,"3359 Mississauga Rd. N., U of T Campus",A,8712,7,19,26,34,43,61,26.1,79,60,0,
2018,47045,Barrie,83 Perry St.,A,8727,11,21,28,34,44,59,27.5,72,50,0,
2018,48006,Newmarket,Eagle St. W./McCaffrey Rd.,A,8703,13,23,30,36,46,65,29.8,91,64,5,
2018,49005,Parry Sound,7 Bay St.,A,8654,16,25,31,37,45,59,30.8,80,55,0,
2018,49010,Dorset,1026 Bellwood Acres Rd.,A,8683,11,22,29,35,43,57,28.2,77,55,0,
2018,51001,Ottawa Downtown,Rideau St./Wurtemburg St.,A,8729,11,20,27,33,41,54,26.4,72,52,0,
2018,51010,Petawawa,Petawawa Research Forest Facility,A,8728,11,21,28,34,42,53,27.3,66,51,0,
2018,52023,Kingston,23 Beechgrove Lane,A,8661,16,24,30,36,44,63,30.5,78,59,0,
2018,54012,Belleville,"2 Sidney St., Water Treatment Plant",A,8730,14,23,30,36,45,65,29.9,85,60,5,
2018,56051,Cornwall,Bedford St./3rd St. W.,A,8679,12,22,28,34,42,56,27.6,68,54,0,
2018,59006,Peterborough,10 Hospital Dr.,A,8676,14,23,30,36,45,62,29.7,86,62,3,
2018,63203,Thunder Bay,421 James St. S.,A,8656,8,18,25,31,39,49,24.3,63,46,0,
2018,71078,Sault Ste. Marie,Sault College,A,8731,15,23,30,35,44,59,29.7,69,56,0,
2018,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8592,10,20,27,33,39,52,26.0,63,54,0,
2018,77233,Sudbury,155 Elm St.,A,8647,12,21,28,33,40,56,27.1,70,51,0,
2017,12008,Windsor Downtown,467 University Ave. W.,A,8656,9,20,27,34,45,63,27.3,78,51,0,
2017,12016,Windsor West,College Ave./South St.,A,8708,9,19,27,34,45,63,27.0,82,52,1,
2017,13001,Chatham,435 Grand Ave. W.,A,8679,15,23,29,35,44,61,29.5,90,57,2,
2017,14111,Sarnia,700 Christina St. N.,A,8676,13,22,28,34,43,61,28.4,80,54,0,
2017,15020,Grand Bend,Point Blake Conservation Area,A,8679,17,25,31,36,44,62,31.0,82,59,4,
2017,15026,London,42 St. Julien St.,A,8686,9,22,29,35,44,62,28.1,78,58,0,
2017,16015,Port Stanley,"43665 Dexter Line, Elgin Water T. Plant",A,8685,18,27,33,38,48,66,33.0,90,63,3,
2017,18007,Tiverton,4th Concession/Bruce Rd. 23,A,8549,19,27,33,38,44,61,32.4,82,63,1,
2017,21005,Brantford,324 Grand River Ave.,A,8650,9,22,29,35,44,62,28.3,74,60,0,
2017,26060,Kitchener,West Ave./Homewood Ave.,A,8561,12,22,29,34,43,60,28.1,75,58,0,
2017,27067,St. Catharines,"Argyle Cres., Pump Stn.",A,8714,11,22,29,34,43,59,28.1,73,57,0,
2017,28028,Guelph,Exhibition St./Clark St. W.,A,8680,10,22,29,35,44,61,28.4,76,60,0,
2017,29000,Hamilton Downtown,Elgin St./Kelly St.,A,8712,8,19,26,32,41,59,25.6,73,59,0,
2017,29114,Hamilton Mountain,Vickers Rd./E. 18th St.,A,8690,14,23,29,35,44,60,29.1,81,57,1,
2017,29118,Hamilton West,Main St. W./Hwy 403,A,8679,5,18,26,32,41,60,25.0,74,61,0,
2017,31103,Toronto Downtown,Bay St./Wellesley St. W.,A,8694,10,19,26,31,40,57,25.6,85,58,2,
2017,33003,Toronto East,Kennedy Rd./Lawrence Ave. E.,A,8691,7,18,25,31,39,57,24.4,82,57,1,
2017,34021,Toronto North,4905 Dufferin St.,A,8717,6,17,24,30,40,59,24.0,82,59,1,
2017,35125,Toronto West,125 Resources Rd.,A,8675,4,14,22,29,39,57,22.1,82,59,2,
2017,44008,Burlington,North Shore Blvd. E./Lakeshore Rd.,A,8708,9,21,28,34,43,59,27.1,88,61,4,
2017,44017,Oakville,"Eighth Line/Glenashton Dr., Halton Res.",A,8666,12,21,28,33,42,59,27.4,84,60,1,
2017,45026,Oshawa,"2000 Simcoe St. N., Durham College",A,8664,11,22,28,34,42,63,27.9,86,60,3,
2017,46090,Brampton,109 McLaughlin Rd. S.,A,8733,9,21,28,34,42,60,27.2,75,60,0,
2017,46108,Mississauga,"3359 Mississauga Rd. N., U of T Campus",A,8700,6,19,27,33,42,59,26.2,78,62,0,
2017,47045,Barrie,83 Perry St.,A,8640,9,20,27,33,40,54,25.9,75,53,0,
2017,48006,Newmarket,Eagle St. W./McCaffrey Rd.,A,8691,12,22,28,34,42,58,27.9,85,58,2,
2017,49005,Parry Sound,7 Bay St.,A,8688,15,25,30,35,42,56,29.7,74,63,0,
2017,49010,Dorset,1026 Bellwood Acres Rd.,A,8619,8,21,28,34,42,54,26.9,69,52,0,
2017,51001,Ottawa Downtown,Rideau St./Wurtemburg St.,A,8683,12,20,26,31,39,53,25.5,71,57,0,
2017,51002,Ottawa Central,960 Carling Ave.,A,8695,11,21,27,32,40,54,26.2,76,57,0,
2017,51010,Petawawa,Petawawa Research Forest Facility,A,8738,10,20,27,32,40,51,25.8,65,57,0,
2017,52023,Kingston,23 Beechgrove Lane,A,8650,16,25,30,36,44,60,30.4,94,62,3,
2017,54012,Belleville,"2 Sidney St., Water Treatment Plant",A,8701,14,24,30,36,45,62,30.2,86,63,4,
2017,56051,Cornwall,Bedford St./3rd St. W.,A,8666,12,22,28,33,41,56,27.2,72,63,0,
2017,59006,Peterborough,10 Hospital Dr.,A,8685,14,23,29,35,43,59,28.9,80,60,0,
